BSSID,Epoch,Temperature
48:27:E2:AD:91:38,1681683738,17.6923
EC:DA:3B:0F:5C:AC,1681683738,20.4604
master,1681683738,19.0462
48:27:E2:AD:85:D0,1681683739,20.1421
48:27:E2:AD:91:38,1681683739,17.0476
EC:DA:3B:0F:5C:AC,1681683739,20.5306
master,1681683739,20.1969
48:27:E2:AD:85:D0,1681683740,20.0736
48:27:E2:AD:91:38,1681683740,17.5634
EC:DA:3B:0F:5C:AC,1681683740,20.4604
master,1681683740,20.2646
48:27:E2:AD:85:D0,1681683741,20.1421
48:27:E2:AD:91:38,1681683741,17.7568
EC:DA:3B:0F:5C:AC,1681683741,20.3202
master,1681683741,20.1969
48:27:E2:AD:85:D0,1681683742,20.1421
48:27:E2:AD:91:38,1681683742,17.6278
EC:DA:3B:0F:5C:AC,1681683742,20.3202
master,1681683742,20.1969
48:27:E2:AD:85:D0,1681683743,20.6901
48:27:E2:AD:91:38,1681683743,17.6278
EC:DA:3B:0F:5C:AC,1681683743,20.3202
master,1681683743,20.3323
48:27:E2:AD:85:D0,1681683744,20.0736
48:27:E2:AD:91:38,1681683744,17.7568
EC:DA:3B:0F:5C:AC,1681683744,20.4604
master,1681683744,20.1969
48:27:E2:AD:85:D0,1681683745,20.0736
48:27:E2:AD:91:38,1681683745,17.7568
EC:DA:3B:0F:5C:AC,1681683745,20.3202
master,1681683745,20.2646
48:27:E2:AD:85:D0,1681683746,20.0051
48:27:E2:AD:91:38,1681683746,17.6923
EC:DA:3B:0F:5C:AC,1681683746,20.4604
master,1681683746,20.3323
48:27:E2:AD:85:D0,1681683747,20.6901
48:27:E2:AD:91:38,1681683747,17.6278
EC:DA:3B:0F:5C:AC,1681683747,20.5306
master,1681683747,20.0615
48:27:E2:AD:85:D0,1681683748,19.9366
48:27:E2:AD:91:38,1681683748,17.0476
EC:DA:3B:0F:5C:AC,1681683748,20.3903
master,1681683748,20.1292
48:27:E2:AD:85:D0,1681683749,20.6901
48:27:E2:AD:91:38,1681683749,17.6923
EC:DA:3B:0F:5C:AC,1681683749,20.5306
master,1681683749,20.2646
48:27:E2:AD:85:D0,1681683750,20.1421
48:27:E2:AD:91:38,1681683750,17.6278
EC:DA:3B:0F:5C:AC,1681683750,20.4604
master,1681683750,20.1969
48:27:E2:AD:85:D0,1681683751,19.9366
48:27:E2:AD:91:38,1681683751,17.6278
EC:DA:3B:0F:5C:AC,1681683751,20.4604
master,1681683751,19.0462
48:27:E2:AD:85:D0,1681683752,20.6901
48:27:E2:AD:91:38,1681683752,17.0476
EC:DA:3B:0F:5C:AC,1681683752,20.5306
master,1681683752,20.0615
48:27:E2:AD:85:D0,1681683753,20.0051
48:27:E2:AD:91:38,1681683753,16.9832
EC:DA:3B:0F:5C:AC,1681683753,20.5306
master,1681683753,19.9938
48:27:E2:AD:85:D0,1681683754,20.1421
48:27:E2:AD:91:38,1681683754,17.0476
EC:DA:3B:0F:5C:AC,1681683754,20.3903
master,1681683754,20.1292
48:27:E2:AD:85:D0,1681683755,20.1421
48:27:E2:AD:91:38,1681683755,17.6278
